City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,mpika,-11.8343,31.4529,13.97,41,7,0.76,ZM,1722797965
359,al muwayh,22.4333,41.7583,33.05,31,100,8.61,SA,1722797967
360,juneau,58.3019,-134.4197,18.0,68,20,2.57,US,1722797403
361,karratha,-20.7377,116.8463,17.94,57,0,5.06,AU,1722797327
362,zalesovo,53.9939,84.7431,16.45,92,12,1.39,RU,1722797970
363,northam,51.0333,-4.2167,19.1,84,100,4.92,GB,1722797971
364,roses,42.262,3.1769,29.62,67,0,2.76,ES,1722797973
365,rikaze,29.25,88.8833,14.76,62,98,1.99,CN,1722797974
366,novaya igirma,57.1334,103.9112,11.84,95,6,1.35,RU,1722797975
367,sunam,30.1333,75.8,29.71,68,7,2.2,IN,1722797977
368,summerland,49.5998,-119.6691,31.25,34,75,4.63,CA,1722797978
369,rio grande,-32.035,-52.0986,21.06,95,100,2.25,BR,1722797957
370,pariaman,-0.619,100.12,26.03,90,87,1.91,ID,1722797841
371,ati,13.2154,18.3353,23.01,88,100,6.9,TD,1722797981
372,denov,38.2667,67.9,29.23,18,0,0.85,UZ,1722797982
373,la passe,45.5549,-0.8967,26.13,78,0,3.99,FR,1722797983
374,sault ste. marie,46.5168,-84.3333,24.31,73,75,4.63,CA,1722797965
375,murray bridge,-35.1167,139.2667,9.63,83,100,1.62,AU,1722797985
376,afif,23.9065,42.9172,32.52,17,89,4.5,SA,1722797986
377,carnarvon,-24.8667,113.6333,16.87,72,0,7.1,AU,1722797988
378,williamston,35.8546,-77.0555,30.94,80,100,5.15,US,1722797989
379,songea,-10.6833,35.65,14.94,52,0,1.23,TZ,1722797990
380,qaisumah,28.3112,46.1273,36.98,11,0,6.17,SA,1722797991
381,ishigaki,24.3448,124.1572,27.07,94,5,2.06,JP,1722797992
382,pierre,44.3683,-100.351,23.51,68,0,3.09,US,1722797778
383,totness,5.8833,-56.3167,26.94,85,100,2.27,SR,1722797994
384,lodja,-3.4833,23.4333,26.51,45,10,1.33,CD,1722797995
385,thomasville,35.8826,-80.082,31.15,66,50,0.89,US,1722797996
386,nuku'alofa,-21.1333,-175.2,21.19,83,75,3.09,TO,1722797998
387,am timan,11.0297,20.2827,20.98,96,100,1.95,TD,1722797999
388,nandurbar,21.3667,74.25,24.64,95,100,8.02,IN,1722798000
389,hirtshals,57.5881,9.9592,16.03,77,21,9.41,DK,1722798001
390,yola,9.2,12.4833,27.9,78,40,2.57,NG,1722798002
391,ataq,14.5377,46.8319,25.49,70,2,4.92,YE,1722798003
392,san,13.3034,-4.8956,25.87,82,100,2.71,ML,1722798004
393,aiken,33.5835,-81.5998,33.12,67,75,3.09,US,1722798005
394,dunedin,-45.8742,170.5036,7.11,64,100,5.99,NZ,1722798007
395,laojunmiao,39.8333,97.7333,23.91,20,52,2.13,CN,1722798008
396,isabela,6.7085,121.9711,25.03,90,98,1.71,PH,1722798009
397,glasgow,55.8652,-4.2576,15.11,88,75,4.12,GB,1722797977
398,tomatlan,19.9333,-105.25,33.42,52,100,3.09,MX,1722798011
399,sikasso,10.9167,-7.0,22.27,93,100,1.73,ML,1722798012
400,seven pagodas,12.6264,80.1722,28.39,80,100,5.59,IN,1722798014
401,manokwari,-0.8667,134.0833,25.42,87,100,4.3,ID,1722798015
402,alice springs,-23.7,133.8833,7.75,93,40,1.54,AU,1722798016
403,katsuura,35.1333,140.3,24.27,90,70,1.43,JP,1722798017
404,port blair,11.6667,92.75,26.02,89,75,0.51,IN,1722798018
405,harper,4.375,-7.7169,24.35,82,57,3.17,LR,1722798019
406,minas de marcona,-15.2119,-75.1103,17.42,53,0,6.25,PE,1722798020
407,watertown,42.3709,-71.1828,30.23,66,100,3.13,US,1722797824
408,mitu,1.1983,-70.1733,27.24,86,100,0.34,CO,1722797880
409,koryazhma,61.3143,47.1691,15.03,99,99,1.82,RU,1722798024
410,quelimane,-17.8786,36.8883,19.13,86,62,2.36,MZ,1722798025
411,sarakhs,36.5449,61.1577,31.17,17,5,4.07,IR,1722798026
412,silver city,32.7701,-108.2803,32.17,30,40,2.06,US,1722798027
413,orange cove,36.6244,-119.3137,39.9,29,0,4.12,US,1722798029
414,baardheere,2.3446,42.2764,25.09,65,26,9.07,SO,1722798030
415,kuusamo,65.9667,29.1833,17.02,63,0,1.54,FI,1722798031
416,frontera,26.9333,-101.45,34.38,37,0,2.24,MX,1722798032
417,bakchar,57.0186,82.0711,15.96,98,67,1.81,RU,1722798033
418,luderitz,-26.6481,15.1594,13.74,80,100,3.7,NA,1722798034
419,inhambane,-23.865,35.3833,21.99,88,0,5.81,MZ,1722798035
420,puri,19.8,85.85,29.29,88,100,5.18,IN,1722798036
421,cidreira,-30.1811,-50.2056,16.13,98,100,2.48,BR,1722798037
422,gaigeturi,33.4644,126.3183,29.03,79,40,1.03,KR,1722798038
423,martapura,-3.4167,114.85,24.05,94,78,0.51,ID,1722798040
424,andergrove,-21.0833,149.1833,18.69,74,100,4.64,AU,1722797499
425,pindushi,62.9152,34.58,13.38,88,16,3.16,RU,1722798042
426,brokopondo,4.75,-55.1667,32.09,51,100,2.5,SR,1722798043
427,tobelo,1.7284,128.0095,25.79,84,100,1.96,ID,1722798044
428,dothan,31.2232,-85.3905,32.95,65,75,4.12,US,1722797887
429,schuyler,42.4167,-76.883,31.28,29,8,2.96,US,1722798047
430,hisar,29.1667,75.7167,28.84,77,6,4.3,IN,1722798048
431,palanga,55.9175,21.0686,17.01,88,40,0.51,LT,1722798050
432,keflavik,64.0049,-22.5624,14.95,67,0,5.14,IS,1722798051
433,xiuyan,40.2928,123.2744,23.63,99,100,1.45,CN,1722798052
434,toliara,-23.35,43.6667,19.82,83,0,3.42,MG,1722798053
435,egilsstadir,65.2653,-14.3948,10.95,82,75,5.66,IS,1722798054
436,uvinza,-5.1036,30.3911,21.55,35,11,1.03,TZ,1722798055
437,eustis,28.8528,-81.6853,28.03,86,100,4.47,US,1722798056
438,inari,68.906,27.0288,18.11,69,6,2.51,FI,1722798057
439,laredo,27.5064,-99.5075,37.16,32,0,2.57,US,1722797935
440,teguise,29.0605,-13.564,23.12,69,20,8.23,ES,1722798059
441,alakurtti,66.9672,30.3491,14.48,69,16,1.39,RU,1722798061
442,kruisfontein,-34.0033,24.7314,11.6,62,73,9.24,ZA,1722798062
443,nar'yan-mar,67.6713,53.087,8.34,76,100,6.8,RU,1722798063
444,tual,-5.6667,132.75,25.17,84,70,8.64,ID,1722798064
445,athens,37.9795,23.7162,31.49,48,20,1.79,GR,1722798062
446,polovinnoye,54.7914,65.9864,14.69,93,8,3.6,RU,1722798066
447,pangody,65.85,74.4859,14.97,66,91,8.38,RU,1722798067
448,kili,5.6439,169.1211,28.1,78,100,4.26,MH,1722798068
449,camayenne,9.535,-13.6878,27.05,83,75,4.12,GN,1722798070
450,aswan,24.0934,32.907,32.82,51,100,3.49,EG,1722798071
451,paka,4.6374,103.4368,23.96,94,97,0.0,MY,1722798072
452,zyryanovsk,49.7386,84.2719,14.22,78,6,0.87,KZ,1722798073
453,newquay,50.4132,-5.0819,18.42,77,75,5.66,GB,1722798074
454,piti village,13.4626,144.6933,27.03,91,98,4.15,GU,1722798075
455,maun,-19.9833,23.4167,20.75,10,0,1.37,BW,1722798076
456,puerto bolivar,-3.2667,-79.9833,27.0,69,75,4.63,EC,1722798078
457,paciran,-6.8767,112.3761,24.39,81,23,2.23,ID,1722798079
458,illizi,26.4833,8.4667,41.89,9,2,2.52,DZ,1722798080
459,plymouth,41.8334,-70.8328,29.82,75,87,0.89,US,1722798081
460,sumbawanga,-7.9667,31.6167,14.91,30,1,1.26,TZ,1722798082
461,zalingei,12.9096,23.4741,19.98,95,100,3.21,SD,1722798083
462,seabra,-12.4186,-41.7703,21.15,61,96,4.04,BR,1722798073
463,gubkinskiy,64.434,76.5026,18.14,86,100,6.48,RU,1722798085
464,carhuaz,-9.2819,-77.6447,20.06,42,70,2.18,PE,1722798087
465,jose maria morelos,30.8066,-112.684,39.37,30,0,4.09,MX,1722798088
466,chernyshevskiy,63.0128,112.4714,10.27,68,5,1.88,RU,1722798089
467,severo-yeniseyskiy,60.3725,93.0408,11.85,69,49,1.88,RU,1722798090
468,las khorey,11.1595,48.1967,31.89,57,15,2.89,SO,1722798091
469,molochnoye,59.2917,39.6787,14.8,93,54,2.76,RU,1722798092
470,umba,66.6871,34.3429,13.6,69,5,4.42,RU,1722798093
471,cabo san lucas,22.8909,-109.9124,32.51,68,56,1.79,MX,1722798094
472,bageshwar,29.85,79.7667,22.94,95,54,0.29,IN,1722798095
473,progreso,21.2833,-89.6667,34.5,86,100,4.5,MX,1722798097
474,cockburn town,21.4612,-71.1419,28.24,82,100,9.2,TC,1722798098
475,severo-vostotchnyi bank,39.4112,49.2479,26.51,71,0,3.27,AZ,1722798100
476,mataram,-8.5833,116.1167,22.45,85,64,4.86,ID,1722798101
477,dryden,49.7833,-92.7503,19.16,52,75,1.54,CA,1722798102
478,isangel,-19.55,169.2667,20.29,64,54,6.4,VU,1722798103
479,arkhangel'sk,64.5401,40.5433,15.06,82,20,4.0,RU,1722798104
480,sandnessjoen,66.0217,12.6316,24.06,50,20,1.03,NO,1722797528
481,balqash,46.8481,74.995,24.43,40,3,5.71,KZ,1722798107
482,ust-kamenogorsk,49.9789,82.6103,14.96,82,100,3.0,KZ,1722798108
483,sievi,63.9,24.5,15.01,88,100,1.82,FI,1722798109
484,santana,-0.0583,-51.1817,34.1,52,40,3.6,BR,1722798110
485,kindu,-2.95,25.95,26.38,35,9,0.73,CD,1722798111
486,pimenta bueno,-11.6725,-61.1936,38.21,19,11,2.15,BR,1722798076
487,fort mcmurray,56.7268,-111.381,22.73,49,0,4.63,CA,1722798008
488,muravlenko,63.7898,74.523,17.39,94,100,5.91,RU,1722798114
489,sao desiderio,-12.3633,-44.9733,31.32,20,0,4.3,BR,1722798115
490,quibala,-10.7337,14.98,19.99,65,12,1.27,AO,1722798117
491,el calafate,-50.3408,-72.2768,2.18,98,100,0.88,AR,1722798002
492,port macquarie,-31.4333,152.9167,10.04,96,100,0.89,AU,1722798119
493,sinop,41.7711,34.8709,19.76,48,3,1.75,TR,1722798120
